#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12661332305";"15/07/2022 / 16:50:00";"GOLL4";"V";"2500";"0,00";"executada";"saída";"2500";"8,03";"0,15";"1,90";"375,00"
"12660561891";"15/07/2022 / 12:40:01";"GOLL4";"C";"2500";"0,00";"executada";"entrada";"2500";"7,88";"-";"-";"-"
"12656411433";"14/07/2022 / 13:50:02";"GOLL4";"V";"2500";"0,00";"executada";"saída";"2500";"7,82";"-0,06";"-0,76";"-150,00"
"12655754759";"14/07/2022 / 11:00:00";"GOLL4";"C";"2500";"0,00";"executada";"entrada";"2500";"7,88";"-";"-";"-"
"12655746790";"14/07/2022 / 10:57:25";"GOLL4";"C";"2500";"0,00";"executada";"saída";"2500";"7,91";"-0,17";"-2,19";"-424,00"
"12655689759";"14/07/2022 / 10:40:01";"GOLL4";"V";"2500";"0,00";"executada";"entrada";"2500";"7,74";"-";"-";"-"
"12649862485";"13/07/2022 / 11:20:02";"GOLL4";"V";"2500";"0,00";"executada";"saída";"2500";"7,71";"-0,15";"-1,91";"-375,00"
"12649739912";"13/07/2022 / 10:50:02";"GOLL4";"C";"2500";"0,00";"executada";"entrada";"2500";"7,86";"-";"-";"-"
"12649700259";"13/07/2022 / 10:40:02";"GOLL4";"C";"2500";"0,00";"executada";"saída";"2500";"7,73";"-0,02";"-0,26";"-50,00"
"12649667132";"13/07/2022 / 10:30:02";"GOLL4";"V";"2500";"0,00";"executada";"entrada";"2500";"7,71";"-";"-";"-"
"12647168801";"12/07/2022 / 16:50:00";"GOLL4";"V";"2600";"0,00";"executada";"saída";"2600";"7,80";"0,13";"1,68";"335,00"
"12646229062";"12/07/2022 / 11:20:01";"GOLL4";"C";"2600";"0,00";"executada";"entrada";"2600";"7,67";"-";"-";"-"
"12646216933";"12/07/2022 / 11:17:05";"GOLL4";"C";"2600";"0,00";"executada";"saída";"2600";"7,67";"-0,18";"-2,40";"-468,00"
"12646132092";"12/07/2022 / 11:00:02";"GOLL4";"V";"2600";"0,00";"executada";"entrada";"2600";"7,49";"-";"-";"-"
"12640425361";"11/07/2022 / 16:50:00";"GOLL4";"C";"2600";"0,00";"executada";"saída";"2600";"7,52";"0,05";"0,66";"130,00"
"12640210956";"11/07/2022 / 16:00:01";"GOLL4";"V";"2600";"0,00";"executada";"entrada";"2600";"7,57";"-";"-";"-"
"12640121222";"11/07/2022 / 15:37:00";"GOLL4";"C";"2500";"0,00";"executada";"saída";"2500";"7,65";"0,24";"3,04";"600,00"
"12639265506";"11/07/2022 / 12:10:02";"GOLL4";"V";"2500";"0,00";"executada";"entrada";"2500";"7,89";"-";"-";"-"
"12630565445";"08/07/2022 / 13:36:58";"GOLL4";"V";"2200";"0,00";"executada";"saída";"2200";"8,63";"-0,22";"-2,49";"-484,00"
"12630269809";"08/07/2022 / 12:30:02";"GOLL4";"C";"2200";"0,00";"executada";"entrada";"2200";"8,85";"-";"-";"-"
"12629957541";"08/07/2022 / 11:20:02";"GOLL4";"C";"2300";"0,00";"executada";"saída";"2300";"8,57";"-0,15";"-1,78";"-345,00"
"12629844202";"08/07/2022 / 10:50:00";"GOLL4";"V";"2300";"0,00";"executada";"entrada";"2300";"8,42";"-";"-";"-"
"12627906635";"07/07/2022 / 16:50:00";"GOLL4";"C";"2300";"0,00";"executada";"saída";"2300";"8,30";"0,19";"2,24";"437,00"
"12626621740";"07/07/2022 / 11:10:02";"GOLL4";"V";"2300";"0,00";"executada";"entrada";"2300";"8,49";"-";"-";"-"
"12623950732";"06/07/2022 / 16:50:00";"GOLL4";"C";"2400";"0,00";"executada";"saída";"2400";"8,38";"-0,07";"-0,84";"-168,00"
"12622713469";"06/07/2022 / 12:20:01";"GOLL4";"V";"2400";"0,00";"executada";"entrada";"2400";"8,31";"-";"-";"-"
"12622309581";"06/07/2022 / 10:56:18";"GOLL4";"C";"2300";"0,00";"executada";"saída";"2300";"8,38";"0,27";"3,12";"621,00"
"12622225230";"06/07/2022 / 10:40:01";"GOLL4";"V";"2300";"0,00";"executada";"entrada";"2300";"8,65";"-";"-";"-"
"12618535321";"05/07/2022 / 15:10:00";"GOLL4";"C";"2300";"0,00";"executada";"saída";"2300";"8,61";"-0,05";"-0,62";"-123,00"
"12618463893";"05/07/2022 / 14:50:01";"GOLL4";"V";"2300";"0,00";"executada";"entrada";"2300";"8,56";"-";"-";"-"
"12618387351";"05/07/2022 / 14:30:02";"GOLL4";"C";"2300";"0,00";"executada";"saída";"2300";"8,61";"0,06";"0,69";"138,00"
"12617800141";"05/07/2022 / 11:50:01";"GOLL4";"V";"2300";"0,00";"executada";"entrada";"2300";"8,67";"-";"-";"-"
"12615037500";"04/07/2022 / 13:20:00";"GOLL4";"V";"2100";"0,00";"executada";"saída";"2100";"9,17";"-0,03";"-0,33";"-63,00"
"12614970356";"04/07/2022 / 12:50:01";"GOLL4";"C";"2100";"0,00";"executada";"entrada";"2100";"9,20";"-";"-";"-"
"12614672846";"04/07/2022 / 11:10:01";"GOLL4";"V";"2100";"0,00";"executada";"saída";"2100";"9,19";"-0,02";"-0,23";"-45,00"
"12614601231";"04/07/2022 / 10:30:01";"GOLL4";"C";"2100";"0,00";"executada";"entrada";"2100";"9,21";"-";"-";"-"
"12605303915";"01/07/2022 / 12:50:01";"GOLL4";"V";"2100";"0,00";"executada";"saída";"2100";"9,07";"-0,13";"-1,41";"-273,00"
"12605133596";"01/07/2022 / 12:00:02";"GOLL4";"C";"2100";"0,00";"executada";"entrada";"2100";"9,20";"-";"-";"-"
"12604753851";"01/07/2022 / 10:40:01";"GOLL4";"V";"2200";"0,00";"executada";"saída";"2200";"8,98";"-0,03";"-0,33";"-66,00"
"12604684427";"01/07/2022 / 10:30:01";"GOLL4";"C";"2200";"0,00";"executada";"entrada";"2200";"9,01";"-";"-";"-"
"12601663957";"30/06/2022 / 14:13:00";"GOLL4";"V";"2100";"0,00";"executada";"saída";"2100";"9,13";"-0,22";"-2,35";"-462,00"
"12601385072";"30/06/2022 / 13:30:01";"GOLL4";"C";"2100";"0,00";"executada";"entrada";"2100";"9,35";"-";"-";"-"
"12600873843";"30/06/2022 / 12:00:02";"GOLL4";"C";"2200";"0,00";"executada";"saída";"2200";"9,07";"-0,19";"-2,13";"-416,00"
"12600655852";"30/06/2022 / 11:20:01";"GOLL4";"V";"2200";"0,00";"executada";"entrada";"2200";"8,88";"-";"-";"-"
"12597986041";"29/06/2022 / 16:00:01";"GOLL4";"C";"2100";"0,00";"executada";"saída";"2100";"9,39";"-0,07";"-0,75";"-147,00"
"12597292256";"29/06/2022 / 12:10:00";"GOLL4";"V";"2100";"0,00";"executada";"entrada";"2100";"9,32";"-";"-";"-"
"12596989399";"29/06/2022 / 11:16:38";"GOLL4";"C";"2000";"0,00";"executada";"saída";"2000";"9,37";"0,31";"3,20";"620,00"
"12596704390";"29/06/2022 / 10:30:01";"GOLL4";"V";"2000";"0,00";"executada";"entrada";"2000";"9,68";"-";"-";"-"
"12592535452";"28/06/2022 / 11:40:01";"GOLL4";"C";"1900";"0,00";"executada";"saída";"1900";"10,20";"-0,03";"-0,26";"-51,00"
"12592384675";"28/06/2022 / 11:10:01";"GOLL4";"V";"1900";"0,00";"executada";"entrada";"1900";"10,17";"-";"-";"-"
