#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12691237215";"22/07/2022 / 10:30:50";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"100.345,00";"-485,00";"-0,49";"-194,00"
"12691044639";"22/07/2022 / 09:05:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"99.860,00";"-";"-";"-"
"12688048302";"21/07/2022 / 10:11:53";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"98.045,00";"-495,00";"-0,50";"-198,00"
"12687776900";"21/07/2022 / 09:05:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"98.540,00";"-";"-";"-"
"12685243968";"20/07/2022 / 11:00:00";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"98.290,00";"-350,00";"-0,35";"-140,00"
"12684888052";"20/07/2022 / 09:25:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"98.640,00";"-";"-";"-"
"12681463496";"19/07/2022 / 13:50:36";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"98.785,00";"-500,00";"-0,51";"-200,00"
"12680384590";"19/07/2022 / 09:05:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"98.285,00";"-";"-";"-"
"12676036689";"18/07/2022 / 10:41:26";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"98.995,00";"-495,00";"-0,50";"-198,00"
"12675624037";"18/07/2022 / 09:05:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"98.500,00";"-";"-";"-"
"12659927788";"15/07/2022 / 10:20:00";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"96.670,00";"-122,50";"-0,13";"-49,00"
"12659663379";"15/07/2022 / 09:35:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"96.792,50";"-";"-";"-"
"12655320500";"14/07/2022 / 09:24:38";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"97.462,50";"-497,50";"-0,51";"-199,00"
"12655098988";"14/07/2022 / 09:05:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"97.960,00";"-";"-";"-"
"12650194826";"13/07/2022 / 13:00:00";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"99.312,50";"717,50";"0,73";"287,00"
"12649430968";"13/07/2022 / 09:35:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"98.595,00";"-";"-";"-"
"12645966730";"12/07/2022 / 10:29:38";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"98.360,00";"-480,00";"-0,49";"-192,00"
"12645705664";"12/07/2022 / 09:05:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"98.840,00";"-";"-";"-"
"12638484661";"11/07/2022 / 09:38:05";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"100.022,50";"-542,50";"-0,54";"-217,00"
"12638331752";"11/07/2022 / 09:05:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"100.565,00";"-";"-";"-"
"12629844845";"08/07/2022 / 10:50:02";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"101.937,50";"42,50";"0,04";"17,00"
"12629505754";"08/07/2022 / 09:10:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"101.895,00";"-";"-";"-"
"12626314418";"07/07/2022 / 10:08:17";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"101.535,00";"-500,00";"-0,49";"-200,00"
"12626085622";"07/07/2022 / 09:05:01";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"101.035,00";"-";"-";"-"
"12622537420";"06/07/2022 / 11:40:00";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"99.577,50";"642,50";"0,65";"257,00"
"12621807218";"06/07/2022 / 09:05:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"98.935,00";"-";"-";"-"
"12617420800";"05/07/2022 / 10:37:42";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"98.275,00";"-505,00";"-0,51";"-202,00"
"12617117238";"05/07/2022 / 09:05:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"98.780,00";"-";"-";"-"
"12614808089";"04/07/2022 / 11:52:40";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"100.490,00";"-507,50";"-0,51";"-203,00"
"12614629852";"04/07/2022 / 10:40:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"99.982,50";"-";"-";"-"
"12614532634";"04/07/2022 / 10:14:37";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"99.570,00";"-450,00";"-0,45";"-180,00"
"12614315305";"04/07/2022 / 09:05:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"100.020,00";"-";"-";"-"
"12605047941";"01/07/2022 / 11:35:00";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"98.845,00";"-297,50";"-0,30";"-119,00"
"12604458781";"01/07/2022 / 09:10:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"99.142,50";"-";"-";"-"
"12600234564";"30/06/2022 / 09:18:12";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"99.562,50";"-497,50";"-0,50";"-199,00"
"12600177843";"30/06/2022 / 09:05:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"100.060,00";"-";"-";"-"
"12597242665";"29/06/2022 / 11:57:32";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"101.387,50";"-507,50";"-0,50";"-203,00"
"12596784757";"29/06/2022 / 10:45:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"101.895,00";"-";"-";"-"
"12596372513";"29/06/2022 / 09:30:15";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"103.145,00";"-530,00";"-0,52";"-212,00"
"12596281138";"29/06/2022 / 09:05:01";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"102.615,00";"-";"-";"-"
"12591915262";"28/06/2022 / 09:55:00";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"103.650,00";"67,50";"0,07";"27,00"
"12591697842";"28/06/2022 / 09:05:01";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"103.717,50";"-";"-";"-"
"12588056970";"27/06/2022 / 10:17:44";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"101.730,00";"-525,00";"-0,52";"-210,00"
"12587898714";"27/06/2022 / 09:05:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"101.205,00";"-";"-";"-"
"12575268510";"24/06/2022 / 09:28:23";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"100.780,00";"-500,00";"-0,50";"-200,00"
"12575216366";"24/06/2022 / 09:05:01";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"100.280,00";"-";"-";"-"
"12569596288";"23/06/2022 / 12:00:00";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"101.510,00";"60,00";"0,06";"24,00"
"12568857348";"23/06/2022 / 10:00:02";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"101.570,00";"-";"-";"-"
"12564924582";"22/06/2022 / 09:37:51";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"99.820,00";"-535,00";"-0,53";"-214,00"
"12564792578";"22/06/2022 / 09:05:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"100.355,00";"-";"-";"-"
"12561275522";"21/06/2022 / 14:00:00";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"102.040,00";"460,00";"0,45";"184,00"
"12559653598";"21/06/2022 / 09:05:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"102.500,00";"-";"-";"-"
"12555425407";"20/06/2022 / 10:27:30";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"100.702,50";"-497,50";"-0,49";"-199,00"
"12554918133";"20/06/2022 / 09:05:00";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"101.200,00";"-";"-";"-"
"12542637411";"17/06/2022 / 09:51:08";"WINQ22";"V";"2";"0,00";"executada";"saída";"2";"102.852,50";"-482,50";"-0,47";"-193,00"
"12542482164";"17/06/2022 / 09:05:01";"WINQ22";"C";"2";"0,00";"executada";"entrada";"2";"103.335,00";"-";"-";"-"
"12534652200";"15/06/2022 / 09:42:26";"WINQ22";"C";"2";"0,00";"executada";"saída";"2";"104.970,00";"-490,00";"-0,47";"-196,00"
"12534533892";"15/06/2022 / 09:05:00";"WINQ22";"V";"2";"0,00";"executada";"entrada";"2";"104.480,00";"-";"-";"-"
"12529126355";"14/06/2022 / 11:25:25";"WINM22";"V";"2";"0,00";"executada";"saída";"2";"102.030,00";"-510,00";"-0,50";"-204,00"
"12528934845";"14/06/2022 / 10:45:00";"WINM22";"C";"2";"0,00";"executada";"entrada";"2";"102.540,00";"-";"-";"-"
"12524030268";"13/06/2022 / 10:45:47";"WINM22";"V";"2";"0,00";"executada";"saída";"2";"102.895,00";"-510,00";"-0,49";"-204,00"
"12523591933";"13/06/2022 / 09:05:00";"WINM22";"C";"2";"0,00";"executada";"entrada";"2";"103.405,00";"-";"-";"-"
"12505886831";"10/06/2022 / 09:50:08";"WINM22";"V";"2";"0,00";"executada";"saída";"2";"106.327,50";"-497,50";"-0,47";"-199,00"
"12505781882";"10/06/2022 / 09:35:00";"WINM22";"C";"2";"0,00";"executada";"entrada";"2";"106.825,00";"-";"-";"-"
"12497192974";"09/06/2022 / 10:20:45";"WINM22";"C";"2";"0,00";"executada";"saída";"2";"107.770,00";"1.495,00";"1,37";"598,00"
"12496945872";"09/06/2022 / 09:05:01";"WINM22";"V";"2";"0,00";"executada";"entrada";"2";"109.265,00";"-";"-";"-"
"12492472635";"08/06/2022 / 12:50:00";"WINM22";"C";"2";"0,00";"executada";"saída";"2";"109.860,00";"260,00";"0,24";"104,00"
"12491731576";"08/06/2022 / 10:45:01";"WINM22";"V";"2";"0,00";"executada";"entrada";"2";"110.120,00";"-";"-";"-"
"12491405153";"08/06/2022 / 09:29:47";"WINM22";"V";"2";"0,00";"executada";"saída";"2";"109.292,50";"-492,50";"-0,45";"-197,00"
"12491351133";"08/06/2022 / 09:10:00";"WINM22";"C";"2";"0,00";"executada";"entrada";"2";"109.785,00";"-";"-";"-"
"12484104198";"07/06/2022 / 09:53:02";"WINM22";"V";"2";"0,00";"executada";"saída";"2";"109.845,00";"-500,00";"-0,45";"-200,00"
"12483966454";"07/06/2022 / 09:05:00";"WINM22";"C";"2";"0,00";"executada";"entrada";"2";"110.345,00";"-";"-";"-"
"12478680984";"06/06/2022 / 11:34:56";"WINM22";"C";"2";"0,00";"executada";"saída";"2";"110.990,00";"1.515,00";"1,35";"606,00"
"12478077857";"06/06/2022 / 09:05:00";"WINM22";"V";"2";"0,00";"executada";"entrada";"2";"112.505,00";"-";"-";"-"
"12464819748";"03/06/2022 / 10:26:21";"WINM22";"V";"2";"0,00";"executada";"saída";"2";"111.695,00";"-495,00";"-0,44";"-198,00"
