#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12655895321";"14/07/2022 / 11:24:39";"MGLU3";"C";"7100";"0,00";"executada";"saída";"7100";"2,85";"-0,05";"-1,79";"-355,00"
"12655832519";"14/07/2022 / 11:15:00";"MGLU3";"V";"7100";"0,00";"executada";"entrada";"7100";"2,80";"-";"-";"-"
"12655775198";"14/07/2022 / 11:02:41";"MGLU3";"V";"7000";"0,00";"executada";"saída";"7000";"2,79";"-0,05";"-1,76";"-350,00"
"12655704285";"14/07/2022 / 10:45:00";"MGLU3";"C";"7000";"0,00";"executada";"entrada";"7000";"2,84";"-";"-";"-"
"12651232266";"13/07/2022 / 16:50:00";"MGLU3";"C";"6800";"0,00";"executada";"saída";"6800";"2,83";"0,06";"2,08";"408,00"
"12650067683";"13/07/2022 / 12:15:00";"MGLU3";"V";"6800";"0,00";"executada";"entrada";"6800";"2,89";"-";"-";"-"
"12650056452";"13/07/2022 / 12:08:14";"MGLU3";"V";"6800";"0,00";"executada";"saída";"6800";"2,89";"-0,04";"-1,42";"-282,00"
"12650016525";"13/07/2022 / 12:00:01";"MGLU3";"C";"6800";"0,00";"executada";"entrada";"6800";"2,93";"-";"-";"-"
"12646752777";"12/07/2022 / 14:03:18";"MGLU3";"V";"6600";"0,00";"executada";"saída";"6600";"2,97";"-0,05";"-1,66";"-330,00"
"12646651294";"12/07/2022 / 13:30:00";"MGLU3";"C";"6600";"0,00";"executada";"entrada";"6600";"3,02";"-";"-";"-"
"12639421971";"11/07/2022 / 12:59:53";"MGLU3";"V";"7700";"0,00";"executada";"saída";"7700";"2,65";"0,08";"3,11";"616,00"
"12639220924";"11/07/2022 / 12:00:01";"MGLU3";"C";"7700";"0,00";"executada";"entrada";"7700";"2,57";"-";"-";"-"
"12638639340";"11/07/2022 / 10:17:41";"MGLU3";"C";"7800";"0,00";"executada";"saída";"7800";"2,58";"-0,04";"-1,57";"-312,00"
"12638625813";"11/07/2022 / 10:15:02";"MGLU3";"V";"7800";"0,00";"executada";"entrada";"7800";"2,54";"-";"-";"-"
"12630636420";"08/07/2022 / 14:00:01";"MGLU3";"C";"7800";"0,00";"executada";"saída";"7800";"2,57";"-0,03";"-1,18";"-234,00"
"12630611474";"08/07/2022 / 13:45:02";"MGLU3";"V";"7800";"0,00";"executada";"entrada";"7800";"2,54";"-";"-";"-"
"12630576455";"08/07/2022 / 13:38:30";"MGLU3";"V";"7700";"0,00";"executada";"saída";"7700";"2,55";"-0,04";"-1,54";"-308,00"
"12630142384";"08/07/2022 / 12:00:01";"MGLU3";"C";"7700";"0,00";"executada";"entrada";"7700";"2,59";"-";"-";"-"
"12626451881";"07/07/2022 / 10:30:21";"MGLU3";"V";"7800";"0,00";"executada";"saída";"7800";"2,51";"-0,04";"-1,57";"-312,00"
"12626447104";"07/07/2022 / 10:30:02";"MGLU3";"C";"7800";"0,00";"executada";"entrada";"7800";"2,55";"-";"-";"-"
"12626429474";"07/07/2022 / 10:27:17";"MGLU3";"C";"8000";"0,00";"executada";"saída";"8000";"2,51";"-0,04";"-1,62";"-320,00"
"12626361326";"07/07/2022 / 10:15:02";"MGLU3";"V";"8000";"0,00";"executada";"entrada";"8000";"2,47";"-";"-";"-"
"12623064825";"06/07/2022 / 14:15:02";"MGLU3";"V";"8000";"0,00";"executada";"saída";"8000";"2,45";"-0,03";"-1,21";"-240,00"
"12623029804";"06/07/2022 / 14:00:01";"MGLU3";"C";"8000";"0,00";"executada";"entrada";"8000";"2,48";"-";"-";"-"
"12622940508";"06/07/2022 / 13:40:46";"MGLU3";"C";"8200";"0,00";"executada";"saída";"8200";"2,47";"-0,05";"-2,07";"-410,00"
"12622387004";"06/07/2022 / 11:15:01";"MGLU3";"V";"8200";"0,00";"executada";"entrada";"8200";"2,42";"-";"-";"-"
