#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12622339852";"06/07/2022 / 11:02:24";"MGLU3";"V";"8000";"0,00";"executada";"saída";"8000";"2,47";"-0,06";"-2,37";"-480,00"
"12622075618";"06/07/2022 / 10:15:02";"MGLU3";"C";"8000";"0,00";"executada";"entrada";"8000";"2,53";"-";"-";"-"
"12617557929";"05/07/2022 / 11:13:48";"MGLU3";"C";"9700";"0,00";"executada";"saída";"9700";"2,11";"-0,05";"-2,43";"-485,00"
"12617406763";"05/07/2022 / 10:35:01";"MGLU3";"V";"9700";"0,00";"executada";"entrada";"9700";"2,06";"-";"-";"-"
"12614584033";"04/07/2022 / 10:25:01";"MGLU3";"V";"9200";"0,00";"executada";"saída";"9200";"2,15";"-0,03";"-1,38";"-276,00"
"12614512142";"04/07/2022 / 10:10:00";"MGLU3";"C";"9200";"0,00";"executada";"entrada";"9200";"2,18";"-";"-";"-"
"12605009459";"01/07/2022 / 11:20:00";"MGLU3";"C";"8800";"0,00";"executada";"saída";"8800";"2,29";"-0,03";"-1,33";"-264,00"
"12604753942";"01/07/2022 / 10:40:01";"MGLU3";"V";"8800";"0,00";"executada";"entrada";"8800";"2,26";"-";"-";"-"
"12600489477";"30/06/2022 / 10:32:40";"MGLU3";"V";"8400";"0,00";"executada";"saída";"8400";"2,33";"-0,05";"-2,10";"-420,00"
"12600455100";"30/06/2022 / 10:25:01";"MGLU3";"C";"8400";"0,00";"executada";"entrada";"8400";"2,38";"-";"-";"-"
"12596675047";"29/06/2022 / 10:25:01";"MGLU3";"V";"8100";"0,00";"executada";"saída";"8100";"2,44";"0,00";"0,00";"0,00"
"12596601176";"29/06/2022 / 10:05:01";"MGLU3";"C";"8100";"0,00";"executada";"entrada";"8100";"2,44";"-";"-";"-"
"12592131332";"28/06/2022 / 10:40:01";"MGLU3";"C";"8100";"0,00";"executada";"saída";"8100";"2,46";"-0,02";"-0,82";"-162,00"
"12592107052";"28/06/2022 / 10:35:01";"MGLU3";"V";"8100";"0,00";"executada";"entrada";"8100";"2,44";"-";"-";"-"
"12588035501";"27/06/2022 / 10:12:54";"MGLU3";"V";"7900";"0,00";"executada";"saída";"7900";"2,48";"-0,06";"-2,36";"-474,00"
"12588009218";"27/06/2022 / 10:05:02";"MGLU3";"C";"7900";"0,00";"executada";"entrada";"7900";"2,54";"-";"-";"-"
"12575478973";"24/06/2022 / 10:24:52";"MGLU3";"C";"7900";"0,00";"executada";"saída";"7900";"2,57";"-0,06";"-2,39";"-474,00"
